date,x1,x2,x3,x4,x5,mega,mult
140502,1,18,26,35,40,13,5
140429,7,43,59,61,66,3,3
140425,3,11,18,20,66,9,2
140422,2,18,19,49,50,1,3
140418,18,25,38,45,63,9,2
140415,4,39,46,47,70,13,3
140411,3,42,44,47,57,8,5
140408,35,36,41,60,71,3,3
140404,1,10,15,41,54,9,2
140401,10,23,68,74,75,9,5
140328,2,3,9,50,73,12,3
140325,19,26,51,57,73,15,3
140321,2,23,30,35,53,10,5
140318,11,19,24,33,51,7,3
140314,7,20,40,54,69,12,3
140311,9,14,56,57,69,10,4
140307,11,13,51,57,69,1,4
140304,10,29,31,35,45,10,2
140228,3,31,50,58,59,6,4
140225,12,18,25,35,66,15,5
140221,23,29,32,45,46,15,5
140218,23,29,31,37,70,14,5
140214,20,28,35,71,72,7,3
140211,43,64,67,71,73,4,2
140207,11,21,23,35,64,10,3
140204,25,44,49,60,73,9,3
140131,3,9,13,47,52,8,4
140128,7,16,28,53,60,2,3
140124,22,45,46,47,65,10,5
140121,8,23,33,45,52,4,4
140117,1,10,26,31,51,11,4
140114,4,23,26,62,69,13,3
140110,8,28,36,37,57,8,3
140107,13,34,56,62,64,6,5
140103,22,24,25,40,70,5,5
131231,8,12,34,52,58,8,3
131227,4,15,35,48,49,11,5
131224,23,34,53,58,73,2,3
131220,3,4,31,49,57,6,2
131217,8,14,17,20,39,7,4
131213,19,24,26,27,70,12,2
131210,5,12,22,41,65,13,2
131206,11,29,44,63,64,3,3
131203,7,12,41,44,59,3,3
131129,9,41,43,47,57,5,4
131126,27,44,59,74,75,3,5
131122,17,23,35,36,44,8,3
131119,14,15,29,49,63,2,3
131115,25,44,49,54,63,8,4
131112,20,30,32,42,71,15,5
131108,41,42,51,57,65,7,2
131105,2,11,42,64,74,2,5
131101,32,35,49,62,67,1,5
131029,20,33,50,53,54,7,3
131025,6,16,45,54,60,15,2
131022,2,3,19,52,71,14,5
131015,4,23,30,43,50,11,4
131011,3,27,37,45,48,46,4
131008,6,15,19,23,40,5,3
131004,4,16,24,25,44,5,3
131001,7,10,30,37,53,1,3
130927,9,23,27,49,51,38,2
130924,4,11,32,39,40,33,3
130920,1,15,20,21,47,34,2
130917,6,15,27,31,39,25,2
130913,9,22,28,48,54,8,4
130910,2,12,18,54,56,1,3
130906,2,16,17,22,41,31,4
130903,4,13,14,28,41,28,3
130830,6,19,24,43,44,33,2
130827,4,7,30,36,38,38,4
130823,1,9,17,20,53,14,4
130820,13,28,35,38,41,33,3
130816,7,13,26,36,46,37,4
130813,2,31,32,37,41,40,4
130809,11,20,30,34,38,12,3
130806,1,11,16,51,55,41,3
130802,8,21,23,25,39,4,2
130730,25,27,36,42,44,39,3
130726,4,22,23,27,38,42,4
130723,25,32,35,50,51,46,3
130719,16,20,24,39,42,46,3
130716,10,14,21,40,53,20,2
130712,4,5,25,27,51,10,3
130709,3,21,43,45,48,14,2
130705,2,23,41,47,54,42,4
130702,36,42,51,52,53,40,4
130628,8,15,35,46,52,38,4
130625,3,5,28,33,51,16,2
130621,3,14,17,40,50,3,3
130618,6,17,34,40,48,30,2
130614,2,5,31,33,34,20,4
130611,15,40,45,50,53,28,4
130607,1,10,37,48,55,21,4
130604,10,11,12,20,55,19,3
130531,2,20,26,44,46,26,3
130528,4,12,25,32,54,36,4
130524,4,5,16,18,53,28,4
130521,2,15,17,48,55,11,4
130517,11,15,35,43,49,41,4
130514,6,10,12,28,32,38,4
130510,1,19,20,39,49,28,4
